id,study_interval,is_weekend,sleep_start_day_in_study,sleep_start_timestamp,sleep_end_day_in_study,sleep_end_timestamp,type,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
1,2022,True,1,00:08:00,1,10:25:30,SKIN,414,34.61608695652174,,,,
1,2022,False,1,23:54:00,2,07:10:00,SKIN,258,33.78065891472868,,,,
1,2022,False,3,00:14:00,3,09:04:00,SKIN,353,34.63492917847026,6.651304347824407,1554.8435985821998,0.4878648593369619,2.101621582545244
1,2022,False,4,00:12:30,4,07:42:00,SKIN,446,34.05005605381166,-126.2248913043477,1161.9093681834638,0.4245698901213673,1.8390290749915057
1,2022,False,6,00:22:00,6,06:38:00,SKIN,269,34.223197026022305,0.0,766.8961505575571,0.3682946332913833,1.803428377300599
1,2022,True,7,01:26:00,7,10:04:30,SKIN,400,33.8549625,-112.66561596679276,756.1876769904047,0.368766248443918,1.6926595399603466
1,2022,False,9,01:02:00,9,09:38:30,SKIN,346,33.94001445086705,-38.07439461883223,683.9717923427233,0.3499852526749732,1.6412242595522462
1,2022,False,10,00:28:30,10,10:49:30,SKIN,459,34.124488017429194,17.08213565022197,997.2058331337756,0.3242288288147096,1.6104853241530095
1,2022,False,11,01:19:30,11,08:03:00,SKIN,403,34.321625310173694,79.44632897603515,581.9697446346981,0.308449897224642,1.557819970665116
1,2022,False,12,00:46:00,12,08:06:00,SKIN,440,34.85781818181818,300.9492904406725,509.4992450380232,0.3628153003382035,1.4998441686988215
1,2022,False,19,23:32:00,20,09:35:00,SKIN,481,34.37504158004158,73.03723048327083,1187.3113048579544,0.3465831506005887,1.5090247542959898
1,2022,True,21,00:02:00,21,04:59:00,SKIN,297,34.64429292929293,110.44888307489236,454.0737266750075,0.3492613914949576,1.4888131355628986
1,2022,False,24,00:10:00,24,08:59:30,SKIN,406,34.901613300492606,235.47512406948044,1045.9142622671789,0.3755532415009184,1.496714363284687
1,2022,True,28,00:15:30,28,07:45:30,SKIN,450,34.52344444444444,78.79994970156076,117.38504905137232,0.3644042633111095,1.431745379447821
1,2022,False,30,23:18:00,31,05:52:30,SKIN,288,34.10432291666667,-48.409416412225255,753.537547126296,0.3609111089858982,1.4441307808980317
1,2022,False,32,23:51:00,33,06:48:00,SKIN,417,34.761043165467626,183.23724565756856,212.66823871980887,0.3509874611602817,1.3369249063425817
1,2022,True,35,00:15:00,35,06:00:30,SKIN,345,33.816028985507245,-174.4307320099233,483.64164672326297,0.3734971818908735,1.300069721740135
1,2022,False,37,18:38:00,37,23:47:30,SKIN,6,26.83416666666667,-45.085000670645854,347.9503350786872,2.212005027172529,1.291819225956264
1,2022,False,38,00:53:00,38,08:30:00,SKIN,438,34.090559360730595,-101.20688585607786,770.6817531270208,2.119734086217699,1.298526196265667
1,2022,False,38,23:19:00,39,05:59:00,SKIN,396,34.677032828282826,119.58853430353338,438.890129323001,2.1338352866217245,1.2680488121168974
1,2022,True,42,23:10:30,43,06:30:30,SKIN,440,35.36627272727273,370.8444444444449,472.1453235801309,2.358361886909902,1.242876934286504
1,2022,False,45,23:05:00,46,03:37:30,SKIN,273,34.53065934065934,0.9848333333338816,238.5099340538727,2.257773564140072,1.2263259798021349
1,2022,True,49,22:19:00,50,03:35:30,SKIN,317,35.30958990536278,228.9100652125635,178.13165695779026,2.292057284452838,1.139535138620509
1,2022,False,52,23:33:30,53,04:18:00,SKIN,284,35.138609154929576,151.8727120102103,105.2562934096204,2.3097830998570825,1.1007534568061976
1,2022,False,54,23:24:30,55,04:58:00,SKIN,331,34.47191842900302,-18.249176434677796,520.8383471012348,2.2979103516491213,1.0627480419237254
1,2022,False,57,23:58:00,58,06:11:00,SKIN,373,34.78927613941019,69.16541049228363,44.75155042507686,2.305015481609029,1.0645808941831862
1,2022,False,59,22:26:30,60,06:13:00,SKIN,464,34.58092672413793,-1.8189894035458565e-12,429.6454515084624,2.212945475451419,1.055791539494306
1,2022,False,61,00:46:30,61,08:39:30,SKIN,473,34.83153276955602,73.07847222222335,463.2890334085096,2.223975189549415,0.998746635306181
1,2022,True,62,22:31:30,63,10:04:30,SKIN,94,31.38148936170213,-300.74711206896563,2522.150838487461,2.3340649306531507,1.2843639448698656
1,2022,True,63,23:18:00,64,04:58:00,SKIN,280,35.10064285714286,132.0656626610944,108.00873162178324,2.2679782440497336,1.2513669082275052
1,2022,False,65,01:36:00,65,06:56:30,SKIN,321,34.8601246105919,40.75741068527168,178.31521861604415,2.281325752185746,1.2219198294787297
1,2022,False,65,17:43:00,66,10:01:30,SKIN,551,34.65986388384755,-9.46008838383932,1505.139184523141,2.204985992797318,1.277319929944314
1,2022,False,67,00:03:00,67,03:22:30,SKIN,200,35.6418,170.5047721179617,230.13313857500907,0.9823794375095964,1.2395025670669528
1,2022,False,68,00:27:00,68,07:55:00,SKIN,448,35.37577008928572,243.8183192389024,194.4629878825508,0.9881225424560904,1.1815254235475727
1,2022,False,68,22:58:30,69,07:32:00,SKIN,397,35.2172040302267,141.7605295950143,644.4735641084844,0.9964725234410402,1.1970270719530227
1,2022,True,71,00:38:00,71,07:09:30,SKIN,346,34.35595375722543,-169.4967267655902,1904.1928329025395,0.9677207821086674,1.3043952814478297
1,2022,False,74,23:32:30,75,08:42:30,SKIN,358,33.86032122905028,-340.1297947049516,1897.729200477712,0.9744789451118416,1.4216256245340515
1,2022,True,77,00:30:30,77,04:34:00,SKIN,243,33.10374485596708,-414.718282439394,2565.974279586342,1.046933614847527,1.5692619234899974
1,2022,False,79,23:51:30,80,14:09:30,SKIN,480,34.71122916666667,-18.731273458448413,1114.652184386272,1.0282225158393516,1.5985896871834322
1,2022,False,81,23:53:00,82,09:02:00,SKIN,478,34.7561820083682,3.637978807091713e-12,1749.403407165315,0.9974339635558428,1.6253871791901178
1,2022,False,83,08:47:30,83,18:18:00,SKIN,13,27.14307692307693,-98.38597916666669,766.1106958910568,2.0339401169214475,1.6946178096596227
2,2022,True,1,00:51:00,1,09:08:00,SKIN,497,34.014396378269616,0.0,274.42101891338825,0.7139023844769663,0.7438199938783049
2,2022,False,2,00:22:00,2,08:38:30,SKIN,497,34.32951710261569,134.2275667351132,560.6754729812965,0.6751714104465367,0.9070445447160352
2,2022,False,3,00:02:00,3,08:44:30,SKIN,523,34.703078393881455,313.06348049281223,524.684707587352,0.7059792201564852,0.8999766830590298
2,2022,False,4,02:26:00,4,09:09:00,SKIN,403,33.19719602977667,-347.4849307962795,987.4031444925348,0.7105678046985412,1.10472861783137
2,2022,False,5,00:28:30,5,08:52:30,SKIN,503,34.60970178926441,254.1232135523605,760.3178492370062,0.7074937663683525,1.1232479677271217
2,2022,False,5,23:35:00,6,08:45:00,SKIN,550,34.07406363636363,-8.366329568787478,635.4552572644316,0.6560621731077197,1.1161953740383153
2,2022,True,7,00:19:00,7,05:59:00,SKIN,340,35.16405882352941,360.2545379876792,458.9414315904724,0.7292508082258724,1.106023268346071
2,2022,True,7,23:26:30,8,08:20:30,SKIN,534,34.50422284644195,153.37599725664404,526.7311049802229,0.6985557674225421,1.086093330305307
2,2022,False,8,23:37:00,9,08:45:00,SKIN,548,34.839744525547445,279.6046277666028,636.1407628986053,0.6943378672772296,1.074139920245097
2,2022,False,10,00:33:30,10,08:34:00,SKIN,480,34.91435416666667,238.79241222616477,437.35340007650666,0.6921172493843389,1.053828328776962
2,2022,False,10,23:56:00,11,08:55:00,SKIN,539,35.09739332096475,319.7188857677902,509.2468658008147,0.7009577257130208,1.0332776391890277
2,2022,False,12,00:24:00,12,08:27:30,SKIN,484,35.27837809917355,349.1652381590611,863.0825649043545,0.7189442488445584,1.0470022630827822
2,2022,False,12,23:40:00,13,08:05:00,SKIN,505,35.0649702970297,229.9105964214723,446.0932287066244,0.7135028632620303,1.03146753402431
2,2022,True,13,23:37:30,14,05:59:00,SKIN,381,34.02342519685039,-203.27764310206112,596.1957735829055,0.6974360913473695,1.0573434907247945
2,2022,True,14,23:43:30,15,08:19:30,SKIN,516,34.77968992248062,87.71387673956269,682.3591685518622,0.6808539480703261,1.0637632730695017
2,2022,False,15,23:43:30,16,08:25:30,SKIN,522,34.96890804597701,163.1343721989324,763.9258978785947,0.6720737264608964,1.0710931693098726
2,2022,False,17,00:17:30,17,08:13:30,SKIN,475,35.220473684210525,245.7627629063063,511.646414487157,0.6753426655423648,1.0632588914648229
2,2022,False,18,00:01:00,18,08:30:00,SKIN,509,35.09699410609037,181.0054634858534,696.2454444237519,0.670252814075946,1.0663229348548766
2,2022,False,19,00:10:00,19,08:48:00,SKIN,518,35.09746138996139,164.6056201550382,612.3293562000617,0.6644903546068817,1.0648657737361271
2,2022,False,20,00:22:00,20,08:37:00,SKIN,495,34.434202020202015,-152.05515829961223,457.2436384151224,0.6490943598853913,1.0662916331209245
2,2022,True,20,23:29:00,21,05:56:00,SKIN,387,34.52080103359173,-70.54133843212367,260.6012906403048,0.6342260609087106,1.0611230563371272
2,2022,True,22,00:37:00,22,08:46:00,SKIN,489,33.46312883435583,-583.5047547791637,1845.009730163496,0.6594059776339989,1.1289634896345853
2,2022,False,23,00:09:00,23,08:17:00,SKIN,488,34.5469774590164,-30.609473161035567,371.65787545521744,0.645556738412496,1.1201876747272157
2,2022,False,23,23:10:00,24,07:07:30,SKIN,478,34.56435146443514,-10.838727634196404,405.5291188634001,0.632588128160685,1.1134844223128353
2,2022,False,24,22:45:00,25,07:23:00,SKIN,518,34.57841698841699,0.0,570.4306519306265,0.6204169489289691,1.1114096603630863
2,2022,False,25,22:47:00,26,07:16:30,SKIN,510,34.3935294117647,-90.70595547728954,210.09748795907944,0.609281681599328,1.0979665125363882
2,2022,False,26,23:33:00,27,07:14:00,SKIN,461,34.25023861171367,-144.80602510459903,601.7302073894534,0.6003135759188767,1.1013804327490515
2,2022,True,27,23:22:30,28,08:28:30,SKIN,546,33.6209706959707,-510.3427961022717,1174.408715446014,0.6115794766446533,1.1223887882269212
2,2022,True,29,00:09:00,29,08:10:00,SKIN,481,34.47824324324324,-37.23960609009373,311.34137622010894,0.6075436026692741,1.1134465621104068
2,2022,False,29,23:24:30,30,07:19:30,SKIN,475,33.946505263157896,-289.35061931973905,1074.811190106906,0.5314310245948548,1.129717082772498
2,2022,False,30,23:30:00,31,07:08:00,SKIN,458,33.93705240174672,-283.3243234704023,793.9494141268078,0.5341782903904879,1.1478131819566024
2,2022,False,31,23:06:30,32,07:05:30,SKIN,475,33.78696842105263,-365.1306193197397,1260.046045925934,0.5499163867768392,1.1702828800422855
2,2022,False,32,22:05:00,33,06:22:30,SKIN,498,34.10916666666667,-211.5118446594206,385.9111854543444,0.5532269593008713,1.1671071489811216
2,2022,False,33,22:39:30,34,07:03:00,SKIN,503,34.13250497017893,-201.8962908909416,479.0378903090023,0.5021221513338028,1.1482649378450591
2,2022,True,34,22:13:00,35,06:29:00,SKIN,496,33.86211693548388,-322.5959222483507,871.2083035309333,0.5157073728097438,1.150767718096661
2,2022,True,36,00:53:30,36,08:36:30,SKIN,463,34.421360691144706,-42.20302822779559,407.395501493942,0.5098754001296987,1.1472854708172548
2,2022,False,36,23:05:30,37,08:03:30,SKIN,538,34.206542750929366,-153.16337812531856,591.2043966518249,0.4968855970453013,1.141378605301147
2,2022,False,37,23:27:00,38,08:02:30,SKIN,516,34.37993217054264,-39.36587796887761,603.1747636108194,0.4971197594489566,1.1432634385937246
2,2022,False,38,23:05:30,39,07:52:30,SKIN,527,34.55565464895636,52.4006730821784,992.1970037752762,0.492461638399801,1.1531386751923116
2,2022,False,39,23:37:00,40,08:29:00,SKIN,532,34.11376879699248,-167.0546812182256,972.1413864509668,0.4885379754765549,1.1636882026419408
2,2022,False,40,23:54:00,41,08:04:30,SKIN,491,34.53673116089613,53.49435436437852,480.6391280016396,0.4726315532893201,1.1623497983141655
2,2022,True,41,23:43:30,42,10:02:30,SKIN,619,33.08916801292407,-816.013486850461,1720.8050893729087,0.5023715199976686,1.1685296112924055
2,2022,True,43,00:25:30,43,08:47:00,SKIN,501,34.98503992015968,289.3750292211953,587.2940812108573,0.4985881297412957,1.1735440514028177
2,2022,False,44,00:02:00,44,08:38:30,SKIN,517,34.243365570599615,-84.82909160208146,776.8128072184045,0.4954301935392973,1.1751017481544204
2,2022,False,45,00:45:00,45,08:29:00,SKIN,464,35.02760775862069,287.7554961250189,549.7827720907517,0.5049247783751414,1.1757873492914392
2,2022,False,46,00:02:30,46,08:14:30,SKIN,492,34.39020325203252,-0.8182352941184945,700.0491904653609,0.4914285395047763,1.1730702514449038
2,2022,False,46,23:55:30,47,07:40:30,SKIN,465,34.781290322580645,181.08215566714532,415.1451115075033,0.4701602174570576,1.16985123016628
2,2022,False,48,00:06:30,48,08:19:00,SKIN,492,35.098831300813,347.82676470588194,555.4139408960473,0.470265244372253,1.168582260887723
2,2022,True,48,23:01:30,49,05:29:00,SKIN,387,34.31332041343669,-27.766204268293222,986.205308396602,0.4466709334777801,1.1818356371456855
2,2022,True,49,23:22:00,50,08:00:30,SKIN,519,34.116849710982656,-119.25404554263514,500.67346113338135,0.4469513958017785,1.1825883871795668
2,2022,False,50,23:54:30,51,08:38:30,SKIN,524,34.6870038167939,178.3578229974155,365.1888903137296,0.4510289408146993,1.1834124204478105
2,2022,False,52,00:01:00,52,08:34:00,SKIN,513,34.725477582846004,174.6302641094735,608.6767737676855,0.4298833723648422,1.155127826196478
2,2022,False,53,00:18:30,53,08:54:00,SKIN,515,34.654184466019416,138.59512868689853,384.9876287295483,0.4321946268557911,1.1559933877142554
2,2022,False,53,23:38:00,54,08:19:00,SKIN,521,34.62253358925144,123.7197224191732,331.58376816799864,0.4333980014941305,1.1533407391012818
2,2022,False,55,00:03:00,55,08:51:30,SKIN,529,34.3832797731569,0.8854408914739906,295.3984166455921,0.4310740519473352,1.1449667868144855
2,2022,True,55,23:51:00,56,09:20:30,SKIN,570,34.07127192982456,-156.95198643410913,607.8780169661622,0.4334018085684162,1.1536669805089756
2,2022,True,56,23:55:30,57,09:46:30,SKIN,591,34.28529610829103,-36.24613856588985,683.296905517811,0.4332612345985742,1.1519849484359028
2,2022,False,58,00:15:30,58,08:56:00,SKIN,520,34.62126923076923,124.6248946381238,209.14607069944032,0.4158509968605872,1.1292607826741226
2,2022,False,58,23:57:00,59,08:09:00,SKIN,492,33.941930894308946,-199.11013565891332,661.598221183056,0.4217268261219883,1.138102061447358
2,2022,False,59,23:58:30,60,08:12:00,SKIN,493,33.858468559837725,-240.6617619509052,776.6200686921366,0.4248126624440632,1.1290757243309704
2,2022,False,61,01:29:30,61,09:29:30,SKIN,480,34.12146875,-108.07562015503936,606.9501305145677,0.4202208951727356,1.123775380660356
2,2022,False,61,23:44:00,62,08:00:30,SKIN,497,34.070533199195175,-137.21826711886388,874.5410494590178,0.4104889259341016,1.1127463863646077
2,2022,True,62,23:48:30,63,05:48:30,SKIN,360,33.87059722222222,-171.3704651162789,506.98211969214026,0.4175036839101765,1.121534456444654
2,2022,True,63,23:47:00,64,09:55:30,SKIN,549,34.869198542805094,267.68832145447595,324.57178423157893,0.4265122333880811,1.1168146721187486
2,2022,False,65,00:10:30,65,08:35:00,SKIN,504,34.147777777777776,-117.84940981228284,1277.6931257799731,0.4180377926851522,1.128842083112397
2,2022,False,65,23:19:00,66,08:28:00,SKIN,549,33.933524590163934,-226.7928343023268,632.1639607299585,0.4255129965292898,1.1318380156865364
2,2022,False,67,00:09:30,67,08:18:30,SKIN,489,34.34118609406953,-9.473415697673772,817.410140909953,0.4245832485693455,1.140471950389195
2,2022,False,67,23:55:00,68,08:05:00,SKIN,490,34.14463265306122,-89.48409433902634,506.7518729381263,0.4263952395768796,1.1385746937384469
2,2022,False,69,01:16:00,69,08:54:00,SKIN,458,34.84453056768559,236.91300978107392,486.7740994072519,0.4343090052300074,1.126711647419673
2,2022,True,69,23:05:00,70,06:10:30,SKIN,426,33.87819248826291,-191.2998860988264,550.5627315057209,0.4410482290733165,1.1181656452784865
2,2022,True,71,00:07:30,71,08:52:00,SKIN,524,34.302681297709924,-2.7874483204141143,615.8147857694421,0.4397939203292998,1.1208742118964414
2,2022,False,71,23:48:00,72,08:13:30,SKIN,506,34.51565217391304,95.32985360092424,854.620226259809,0.3707679232708855,1.0987652103893533
2,2022,False,73,00:35:30,73,07:49:30,SKIN,434,35.10329493087558,336.8020878711486,661.0425453785574,0.3778198472711502,1.1033780476965644
2,2022,False,74,00:07:30,74,08:37:00,SKIN,509,34.472161100196466,55.95343679087455,596.6253315100912,0.3768811283473045,1.0977937234520574
2,2022,False,74,23:45:30,75,08:43:30,SKIN,538,34.71110594795539,187.69368171609312,606.2920274741482,0.3630710561070718,1.0970740335596367
2,2022,False,76,00:05:00,76,08:46:00,SKIN,521,34.294856046065256,-16.878945205371565,588.3420448969118,0.3635398905937974,1.092640932514424
2,2022,True,76,23:40:00,77,08:30:30,SKIN,531,34.54277777777777,114.44352225709736,667.4351134398021,0.3573042369246522,1.0980656185402755
2,2022,True,77,23:17:00,78,08:12:30,SKIN,536,35.07723880597015,401.9922559883344,709.6671975273639,0.3558350215280828,1.1009989449844175
2,2022,False,79,00:42:30,79,08:54:30,SKIN,492,35.14178861788618,383.5413966622982,582.558651938336,0.3813849912031467,1.0836990141864271
2,2022,False,80,02:36:00,80,08:41:00,SKIN,365,34.68058904109589,92.29704061301344,517.1910222078441,0.380243157983833,1.088773291576232
2,2022,False,80,23:20:00,81,09:35:30,SKIN,616,34.78533279220779,220.28921100716616,610.0053004240617,0.3829447599919546,1.092700986895542
2,2022,False,82,00:06:30,82,08:31:00,SKIN,504,34.673720238095235,123.98389991495424,265.31376431160606,0.3816997634404867,1.0828293437297956
2,2022,False,82,23:42:30,83,08:51:00,SKIN,548,34.69433394160584,146.10420070117834,177.75653492263518,0.3825749023922147,1.0752729691780578
2,2022,True,83,22:56:30,84,05:30:00,SKIN,393,33.68942748091603,-264.41254290999314,839.6345968146343,0.403997080318293,1.0969721111863846
2,2022,True,84,23:55:30,85,08:18:00,SKIN,502,34.25946215139442,-31.360715336642897,387.70995710464194,0.4048293878910944,1.100863816967963
2,2022,False,85,23:46:30,86,08:07:00,SKIN,500,33.77871,-271.61184794486326,998.4659848378506,0.416335319164404,1.1155779121388778
2,2022,False,87,00:09:00,87,08:08:00,SKIN,479,34.74210855949895,160.67334697329716,349.8578284501564,0.4207648701021054,1.1090554898788303
2,2022,False,87,23:56:00,88,06:59:30,SKIN,424,34.969740566037736,238.7403948156116,283.5146019263193,0.4316497580073343,1.1144900565516518
2,2022,False,88,23:19:30,89,08:24:30,SKIN,534,33.21161985018727,-638.1587008690185,1330.0233704491984,0.4774290612957581,1.134445442940562
2,2022,False,89,23:03:00,90,07:24:30,SKIN,502,34.04714143426295,-180.48514576076195,477.42518777935766,0.4713780423420313,1.1249856657610482
3,2022,True,1,00:01:30,1,08:53:30,SKIN,532,33.837744360902256,,,,
3,2022,False,2,02:29:00,2,07:30:30,SKIN,302,34.673675496688745,,,,
3,2022,False,3,13:49:30,3,21:42:30,SKIN,473,33.77665961945032,-28.893082706767014,386.16969868564047,0.50119019899857,0.9024504918562486
3,2022,False,4,00:48:00,4,06:43:30,SKIN,356,34.26147471910112,75.42400375939724,528.9442708373535,0.4174977317090032,1.0497884745385526
3,2022,False,5,14:38:30,5,17:51:30,SKIN,190,34.59534210526316,63.43480337078654,126.63061475631548,0.4155388777466114,1.0058168720289589
3,2022,True,8,01:36:00,8,04:38:30,SKIN,182,33.12203296703297,-168.81893628030775,640.7356881693704,0.5851151423646745,1.1830737715346742
3,2022,False,8,16:16:00,9,00:50:00,SKIN,514,34.22639105058366,0.0,799.7525803989265,0.5385412926039321,1.2029265176053738
3,2022,False,9,22:35:00,10,08:46:00,SKIN,611,34.58271685761047,206.9970073612967,536.0196085211355,0.5304652537547797,1.137591707950678
3,2022,False,10,20:52:00,11,06:31:30,SKIN,580,34.47094827586207,121.4946629213482,981.8222976177932,0.5087203145254117,1.1697648038219175
3,2022,False,12,01:51:30,12,07:59:00,SKIN,367,34.735177111716624,135.41038042425134,256.996887674788,0.5116353699392089,1.133905257285484
3,2022,False,13,00:34:00,13,08:01:30,SKIN,441,34.30544217687075,0.0,366.6751887755236,0.4859381072954116,1.1105803396734453
3,2022,True,13,21:29:00,14,04:19:00,SKIN,408,34.38379901960784,15.984795918368036,247.01777058956213,0.4653043918685924,1.0823593707148071
3,2022,True,15,01:26:00,15,10:25:30,SKIN,540,34.24067592592593,-34.97377551020327,381.25174860842526,0.445499197551539,1.0582728282486369
3,2022,False,16,02:25:30,16,09:44:30,SKIN,439,33.83627562642369,-196.31325866582665,1178.6332025695592,0.4418790889500252,1.1222868266019932
3,2022,False,16,23:39:00,17,08:36:30,SKIN,538,34.40586431226766,54.02710884353655,247.3077907343395,0.4285668951705974,1.0874676316568612
3,2022,False,19,03:21:00,19,10:00:30,SKIN,400,34.7417625,158.85676070428235,173.00665849109646,0.4333310026008704,1.0631064949512856
3,2022,False,20,01:11:00,20,09:26:00,SKIN,495,34.24991919191919,-27.48387755102158,236.87673368724063,0.4195815956160981,1.0400153856603995
3,2022,True,21,02:19:30,21,11:38:00,SKIN,558,34.199327956989244,-46.94481397615528,278.4331132331863,0.4073178293241453,1.0181739743698708
3,2022,False,23,05:36:00,23,12:27:00,SKIN,411,34.09830900243309,-67.06110955056101,263.4639237570809,0.3975349427660254,1.0078767906336616
3,2022,False,24,01:58:00,24,09:41:30,SKIN,464,34.52934267241379,114.09028013452551,241.07802456081845,0.3919535336682155,0.992891070924514
3,2022,False,25,03:20:00,25,08:55:30,SKIN,336,33.76578869047619,-166.55050561797725,335.12267469230574,0.3971763449618834,0.993879952466037
3,2022,False,26,07:14:30,26,13:59:00,SKIN,404,34.60740099009901,130.87278701368086,235.69888435828037,0.3954426869792056,0.983927555218226
3,2022,False,27,05:28:30,27,13:49:30,SKIN,501,34.121556886227545,-70.0988342696619,256.1924626065884,0.3873762126422345,0.9715148341611348
3,2022,True,28,06:25:00,28,12:31:00,SKIN,366,34.34834699453552,23.74920803714849,109.8081265229266,0.3793846553057159,0.9587032591976368
3,2022,True,29,04:19:00,29,11:10:30,SKIN,412,35.001978155339806,286.972823129252,279.13375895575155,0.4003306121651689,0.952190319497502
3,2022,False,30,05:22:00,30,09:42:00,SKIN,260,34.71961538461539,102.10740771718702,147.7179642720148,0.4014081001420755,0.9470643147654274
3,2022,False,31,08:29:00,31,14:02:00,SKIN,333,34.00237237237237,-108.06589703914142,430.4406099184416,0.3950491286290365,0.954324737631998
3,2022,False,32,03:49:30,32,08:39:30,SKIN,290,34.20172413793103,-23.70294991592164,93.13568218878936,0.3883500372310752,0.9462059513824306
3,2022,False,33,05:22:00,33,12:08:30,SKIN,407,34.663108108108105,136.8389036188255,168.22773303103168,0.3803434011108212,0.9374353666426536
3,2022,False,34,07:49:00,34,12:56:00,SKIN,307,34.455667752443,27.50558682899464,209.7991941589862,0.3809783869727079,0.9239391570979704
3,2022,True,35,05:19:30,35,11:06:00,SKIN,346,35.03617052023122,231.8537395531985,199.8275152307469,0.4024108391829623,0.9198317692763046
